Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
545719,2020-12-29 12:27:48,213141712584544,"fraud_Lakin, Ferry and Beatty",food_dining,156.77,Margaret,Curtis,F,742 Oneill Shore,Florence,MS,39073,32.153,-90.1217,19685,Fine artist,1984-12-24,5034a3239d7a21c9ebeadc58a6e97f73,1388320068,32.355492,-90.14641,0
545720,2020-12-29 12:28:00,370877495212014,fraud_Schmidt-Larkin,home,16.94,Sarah,Clark,F,25961 Beverly Union Apt. 042,North Wilkesboro,NC,28659,36.2017,-81.1286,21134,Dispensing optician,1984-03-06,cbb7c7dbc74686e0e73ddd19118933a5,1388320080,36.114099,-81.91749200000001,0
545721,2020-12-29 12:28:06,4988304376504,fraud_Thiel-Thiel,entertainment,2.59,William,Thompson,M,977 Rita Grove Apt. 000,Rock Tavern,NY,12575,41.4575,-74.1659,2258,Building surveyor,1937-03-17,ee2d5868e10f865ba5252d0e3553fcd7,1388320086,41.989958,-74.528478,0
545722,2020-12-29 12:28:23,4155021259183870,fraud_Dickinson-Rempel,misc_pos,6.64,Renee,Parrish,F,174 Jennifer Meadow Apt. 467,Mountain Park,OK,73559,34.7032,-98.9591,540,Research scientist (life sciences),1983-10-12,0e270e2ece1532b2ea10c6b047ed5244,1388320103,34.690234999999994,-98.774148,0
545723,2020-12-29 12:28:25,4469777115158234880,"fraud_Walter, Hettinger and Kessler",personal_care,117.36,Gregory,Graham,M,4005 Dana Glens,Methuen,MA,1844,42.728,-71.181,47249,Market researcher,1980-11-22,fa38cc4323f1fe875dd9ef714a28abf7,1388320105,42.262129,-70.340817,0
545724,2020-12-29 12:28:29,3518234918950662,"fraud_Stanton, Jakubowski and Baumbach",shopping_net,4.27,Barbara,Lowe,F,67210 Lori Creek,Sherman,TX,75092,33.6372,-96.6184,46563,Systems developer,1970-09-11,dd2d9b6d6c3961905312a16f1782b4a4,1388320109,33.338639,-97.44785,0
545725,2020-12-29 12:28:29,6011652924285713,fraud_Beier LLC,entertainment,6.39,Kathryn,Smith,F,19838 Tonya Prairie Apt. 947,Rocky Mount,MO,65072,38.2911,-92.7059,1847,Tax inspector,1988-10-26,be9ae8b3ec246921c4d63df25d2f6025,1388320109,37.461729,-93.415894,0
545726,2020-12-29 12:28:54,581293083266,fraud_White and Sons,home,83.12,William,Thomas,M,39227 Mcpherson Shoals,Lahoma,OK,73754,36.385,-98.0727,1078,Podiatrist,1989-10-06,97d4f0e655ea01f61fde032ba4f47d6b,1388320134,37.266301,-98.285039,0
545727,2020-12-29 12:28:56,4170689372027579,fraud_Wilkinson Ltd,entertainment,178.29,Samuel,Frey,M,830 Myers Plaza Apt. 384,Edmond,OK,73034,35.6665,-97.4798,116001,Media buyer,1993-05-10,fecdc33cf8e92e79a737ea40c0ee8ef5,1388320136,35.242816,-97.937351,0
545728,2020-12-29 12:29:30,6011860238257910,fraud_Schmeler-Howe,personal_care,3.62,Lisa,Mendez,F,44259 Beth Station Suite 215,Lahoma,OK,73754,36.385,-98.0727,1078,"Programme researcher, broadcasting/film/video",1952-07-06,084b4f5ae645232888fd15b364591f40,1388320170,36.70381,-98.221606,0
545729,2020-12-29 12:29:46,6011975266774121,fraud_Nolan-Williamson,kids_pets,40.59,Haley,Wagner,F,05561 Farrell Crescent,Annapolis,MD,21405,39.0305,-76.5515,92106,"Accountant, chartered certified",1943-05-28,793dbe244dc11254daa38c095c1510b0,1388320186,38.307643,-76.13504300000001,0
545730,2020-12-29 12:29:50,6597888193422452,"fraud_Yost, Schamberger and Windler",kids_pets,13.94,Bill,Lane,M,4725 Hurst Curve Apt. 634,Holliday,TX,76366,33.6751,-98.6576,2317,Chief Technology Officer,1964-08-23,a97afb1807f3c50b05a81dbb638d2a02,1388320190,34.265857000000004,-99.251106,0
545731,2020-12-29 12:29:57,4335531783520911,fraud_Cummerata-Hilpert,entertainment,28.2,Amy,Daugherty,F,852 Thomas Well Suite 339,Owensville,MO,65066,38.3511,-91.4867,6703,Naval architect,1998-05-20,ed103afd348e55df1479e45a9f7c3064,1388320197,37.892743,-92.100085,0
545732,2020-12-29 12:30:13,180011453250192,"fraud_Bahringer, Bergnaum and Quitzon",home,79.88,Craig,Dunn,M,721 Jacqueline Brooks,New Boston,IL,61272,41.2153,-90.9879,1504,Manufacturing engineer,1993-10-05,e3b3160ec53416fa5661abc41a8bef65,1388320213,40.305795,-90.802337,0
545733,2020-12-29 12:30:16,4926376199189801,"fraud_Quitzon, Green and Bashirian",shopping_pos,1.21,Claire,Davis,F,83685 Matthew Center Suite 870,Cherokee Village,AR,72529,36.3011,-91.5281,4726,Pharmacologist,1977-06-07,8468e67900270b6066dda82d2df8fb96,1388320216,36.06484,-91.405087,0
545734,2020-12-29 12:30:41,4969856774088583,fraud_Jakubowski Inc,home,33.81,Jacqueline,Prince,F,27823 Andrew Underpass Suite 948,Metairie,LA,70003,29.9975,-90.2146,137067,Advertising account planner,1951-12-04,a8663cf22ec822e05ea14e206b311528,1388320241,29.65813,-89.785129,0
545735,2020-12-29 12:30:46,30270432095985,fraud_Eichmann-Kilback,home,5.23,Lisa,Lin,F,908 Brooks Brook,Lomax,IL,61454,40.6761,-91.0391,725,Environmental consultant,1972-11-28,fe7ab2ab33acca510b98e65000b1bda4,1388320246,41.300641,-90.868454,0
545736,2020-12-29 12:31:07,30175986190993,fraud_Gleason and Sons,kids_pets,26.86,Rebecca,Butler,F,0665 Lisa Alley,Winger,MN,56592,47.5375,-95.9941,516,Applications developer,1966-06-07,97448b7b72e79e66d62b003c30038215,1388320267,48.452569,-96.019577,0
545737,2020-12-29 12:31:07,30131826429364,fraud_Jacobi and Sons,shopping_pos,334.69,Brianna,Foley,F,57256 Raymond Ports,Knoxville,TN,37932,35.9335,-84.1481,391389,"Designer, industrial/product",1994-04-22,cf649b6d57f3d5880875b3724e9e1411,1388320267,36.884079,-84.766632,0
545738,2020-12-29 12:31:26,4427805710168,fraud_Grimes LLC,entertainment,62.64,Michelle,Rodriguez,F,1742 Brandon Squares Apt. 461,Ruidoso,NM,88355,33.3305,-105.6933,8874,Licensed conveyancer,2000-08-16,58476e1f9ce2de5fb643cdf1622bd06d,1388320286,34.052958000000004,-104.714031,0
545739,2020-12-29 12:32:24,344342339068828,fraud_Morissette-Schaefer,personal_care,57.89,Ruth,Fuller,F,37732 Joe Courts Apt. 752,Darien,GA,31305,31.3826,-81.4312,5989,Tax adviser,1967-05-05,8d710ec3fac54a381796c91df76654ce,1388320344,32.241413,-80.460924,0
545740,2020-12-29 12:32:33,30044330818990,fraud_Schiller Ltd,personal_care,23.32,Allison,Ayala,F,87665 Karen Mill Apt. 586,Fort Myers,FL,33967,26.4722,-81.8122,224256,Paramedic,1985-08-29,48a01494c7e000815b33483c12bb070f,1388320353,26.323023,-82.697195,0
545741,2020-12-29 12:32:57,6534628260579800,fraud_Buckridge PLC,misc_pos,9.27,Christine,Harris,F,29606 Martinez Views Suite 653,Hinesburg,VT,5461,44.3346,-73.098,4542,Claims inspector/assessor,1998-03-19,247adf8da8b20c098ee95a55f66a10a9,1388320377,43.396538,-73.443127,0
545742,2020-12-29 12:32:57,4988304376504,fraud_Hilpert-Conroy,kids_pets,4.0,William,Thompson,M,977 Rita Grove Apt. 000,Rock Tavern,NY,12575,41.4575,-74.1659,2258,Building surveyor,1937-03-17,19bff3ba1ccf7fc41562239a2c48ca8a,1388320377,40.929612,-73.431086,0
